id,name,description,unit_price,created_at,updated_at
1,Website development,Creation of a custom website for your business or organization.,$1000,2023-10-28 00:00:00,2023-10-28 00:00:00
2,Logo design,Creation of a unique and distinctive logo for your brand.,$500,2023-10-28 00:00:00,2023-10-28 00:00:00
3,Digital marketing,Creation and execution of a digital marketing strategy to increase brand awareness and generate leads.,$5000,2023-10-28 00:00:00,2023-10-28 00:00:00
4,Mobile app development,Creation of a custom mobile app for your business or organization.,$2000,2023-10-28 00:00:00,2023-10-28 00:00:00
5,Hosting services,Storage and delivery of your website or application to Internet users.,$50/month,2023-10-28 00:00:00,2023-10-28 00:00:00
6,Technical support,Assistance with technical problems with your website, application or software.,$100/hour,2023-10-28 00:00:00,2023-10-28 00:00:00
7,Cybersecurity,Protection of your website, application, or software from cyber attacks.,$200/month,2023-10-28 00:00:00,2023-10-28 00:00:00
8,Content management,Creation and publication of content for your website, blog or social networks.,$100/hour,2023-10-28 00:00:00,2023-10-28 00:00:00
9,Data analysis,Collection, analysis, and interpretation of data to improve your business.,$2000,2023-10-28 00:00:00,2023-10-28 00:00:00
10,Search engine optimization (SEO),Improving the visibility of your website in organic search results.,Starting at $500/month,2023-10-28 00:00:00,2023-10-28 00:00:00
